symbol,profit,invest,profit_invest
AMGN,3.0700000000000216,989.03,0.0031040514443444805
HON,-19.169999999999987,194.2,-0.09871266735324402
GS,44.589999999999975,1579.8799999999999,0.028223662556649858
WBA,1.4399999999999977,50.019999999999996,0.028788484606157495
AAPL,-0.3100000000000023,1583.3600000000001,-0.00019578617623282275
NKE,0.0,107.28,0.0
V,0.0,253.72,0.0
UNH,46.23000000000002,494.23,0.0935394451975801
CSCO,7.200000000000003,98.36,0.07320048800325338
CVX,-18.099999999999994,2685.8500000000004,-0.006739021166483605
VZ,2.6999999999999957,65.55000000000001,0.041189931350114346
INTC,-0.2700000000000031,99.81,-0.002705139765554585
MSFT,12.239999999999952,1266.98,0.009660768125779375
JNJ,-4.6299999999999955,1285.6599999999999,-0.0036012631644447178
WMT,-0.7699999999999818,315.01,-0.0024443668454969107
DIS,5.089999999999989,868.8900000000001,0.005858048774873676
DOW,0.0,48.38,0.0
JPM,10.149999999999977,1424.7000000000003,0.007124306871622079
BA,-31.620003999999994,2349.620018,-0.013457496853859368
KO,0.0,0.0,0.0
MCD,-24.410000000000025,282.16,-0.08651119931953509
IBM,-3.1499999999999915,121.6,-0.025904605263157826
MRK,5.499999999999972,522.3100000000001,0.010530144933085659
MMM,9.659999999999997,87.41,0.11051367120466762
PG,0.0,0.0,0.0
